part_index,part_name,group,volume,surface_area,edge_length,faces,edges,vertices,bbox_max,bbox_mid,bbox_min,moment_max,moment_mid,moment_min,normalized_step
1,part_0001,1,26782.655398985426,20247.168543828433,9278.556530358512,242,687,444,80.0000001,80.0,20.2,30111349.954532865,15816701.886797203,15816701.872562049,normalized_parts\part_0001.step
2,part_0002,2,116.68266740739111,276.7420581040831,181.50689315751208,6,12,8,11.80000000001703,8.407559109507956,6.796924490437895,2300.704561005152,1364.952671703961,957.8414644142322,normalized_parts\part_0002.step
3,part_0003,2,116.6826674073912,276.74205810408307,181.50689315751205,6,12,8,11.800000000017029,9.689334666890066,3.92439785967672,2300.704561005163,1364.9526717039382,957.8414644142176,normalized_parts\part_0003.step
4,part_0004,2,116.68266740739116,276.74205810408273,181.50689315751208,6,12,8,11.800000000017025,9.991353350093254,1.59064588946935,2300.70456100516,1364.9526717039837,957.8414644143049,normalized_parts\part_0004.step
5,part_0005,2,116.68266740739139,276.74205810408336,181.50689315751214,6,12,8,11.800000000017034,9.486421690875222,4.6660895088517975,2300.704561005162,1364.9526717040014,957.8414644143049,normalized_parts\part_0005.step
6,part_0006,2,116.68266740739128,276.7420581040833,181.50689315751208,6,12,8,11.800000000017038,7.943969855187667,7.37162502339169,2300.7045610051487,1364.9526717039494,957.8414644142322,normalized_parts\part_0006.step
7,part_0007,2,116.68266740739102,276.74205810408307,181.50689315751208,6,12,8,11.800000000017038,9.188033766512039,5.443358014455871,2300.7045610051564,1364.9526717039344,957.8414644142176,normalized_parts\part_0007.step
8,part_0008,2,116.6826674073908,276.7420581040834,181.50689315751217,6,12,8,11.80000000001703,9.911758596190657,2.2902723087019616,2300.7045610051614,1364.9526717040255,957.8414644143049,normalized_parts\part_0008.step
9,part_0009,2,116.68266740739038,276.74205810408284,181.50689315751208,6,12,8,11.800000000017029,9.834961543303903,3.0786944079704774,2300.7045610051487,1364.952671703935,957.8414644142322,normalized_parts\part_0009.step
10,part_0010,2,116.68266740739104,276.74205810408307,181.5068931575121,6,12,8,11.80000000001703,8.849641715730264,6.11170784116193,2300.70456100516,1364.9526717040253,957.8414644143049,normalized_parts\part_0010.step
11,part_0011,2,116.6826674073911,276.7420581040831,181.50689315751208,6,12,8,11.800000000017029,8.407559109507952,6.796924490437895,2300.704561005155,1364.9526717039575,957.8414644142613,normalized_parts\part_0011.step
12,part_0012,2,116.68266740739095,276.74205810408324,181.50689315751208,6,12,8,11.800000000017029,9.68933466689008,3.924397859676649,2300.7045610051623,1364.9526717039867,957.8414644142758,normalized_parts\part_0012.step
13,part_0013,2,116.68266740739114,276.7420581040832,181.50689315751214,6,12,8,11.800000000017025,9.991353350093242,1.5906458894693927,2300.7045610051646,1364.9526717039832,957.8414644142904,normalized_parts\part_0013.step
14,part_0014,2,116.68266740739126,276.74205810408336,181.50689315751214,6,12,8,11.80000000001702,9.486421690875204,4.6660895088518615,2300.704561005168,1364.9526717039664,957.8414644142904,normalized_parts\part_0014.step
15,part_0015,2,116.6826674073908,276.74205810408307,181.50689315751208,6,12,8,11.800000000017013,7.943969855187611,7.371625023391736,2300.7045610051678,1364.9526717039885,957.8414644143049,normalized_parts\part_0015.step
16,part_0016,2,116.68266740739125,276.74205810408307,181.50689315751205,6,12,8,11.800000000017015,9.188033766512074,5.443358014455814,2300.7045610051723,1364.952671703984,957.8414644142613,normalized_parts\part_0016.step
17,part_0017,2,116.6826674073908,276.7420581040832,181.5068931575121,6,12,8,11.800000000017022,9.911758596190674,2.290272308701905,2300.7045610051573,1364.9526717039998,957.8414644143195,normalized_parts\part_0017.step
18,part_0018,2,116.68266740739126,276.74205810408324,181.5068931575122,6,12,8,11.800000000017027,9.834961543303905,3.0786944079705556,2300.7045610051646,1364.9526717039896,957.8414644142904,normalized_parts\part_0018.step
19,part_0019,2,116.68266740739169,276.7420581040833,181.50689315751208,6,12,8,11.80000000001703,8.849641715730238,6.111707841161984,2300.7045610051837,1364.9526717039798,957.8414644142613,normalized_parts\part_0019.step
20,part_0020,3,6386.445461215318,11469.160970760087,5539.504882599737,118,326,214,70.00000000000004,70.00000000000003,14.500000000000124,5504911.733601133,2870932.8362919334,2870932.8311968804,normalized_parts\part_0020.step
21,part_0021,4,44.75270635762897,303.0970592626165,1495.6892428314488,206,424,218,9.900000199999997,5.841663221605668,5.791129922029693,642.3511589433729,572.0312494883074,209.46070147393766,normalized_parts\part_0021.step
22,part_0022,7,7924.073467704191,9404.458775068159,12258.155647826254,690,1842,1228,63.99865395623495,63.88447346870413,10.000000200000006,6653315.387000307,3383393.938720556,3383393.932631351,normalized_parts\part_0022.step
23,part_0023,4,44.752706357628824,303.0970592626164,1495.6892428314488,206,424,218,9.900000199999997,6.000788863913545,5.980443878008874,642.3511589433843,572.0312494882759,209.46070147390128,normalized_parts\part_0023.step
24,part_0024,4,44.75270635762895,303.0970592626168,1495.6892428314486,206,424,218,9.9000002,6.020265316902385,6.0098673282279655,642.3511589433763,572.031249488253,209.460701473894,normalized_parts\part_0024.step
25,part_0025,4,44.75270635762894,303.09705926261734,1495.6892428314484,206,424,218,9.900000100000002,5.90950870820849,5.868651074980473,642.3511589433756,572.0312494882646,209.46070147390856,normalized_parts\part_0025.step
26,part_0026,4,44.75270635762918,303.09705926261773,1495.6892428314486,206,424,218,9.900000200000001,5.651194508946897,5.580992115436363,642.3511589433737,572.0312494882766,209.46070147393038,normalized_parts\part_0026.step
27,part_0027,4,44.75270635762854,303.0970592626156,1495.6892428314482,206,424,218,9.9000001,5.252369154370852,5.1547368388688,642.3511589433695,572.0312494882955,209.46070147394494,normalized_parts\part_0027.step
28,part_0028,4,44.75270635762877,303.0970592626159,1495.6892428314484,206,424,218,9.9000002,4.723911657765375,4.601512478057973,642.3511589433714,572.031249488261,209.46070147387218,normalized_parts\part_0028.step
29,part_0029,4,44.752706357628966,303.09705926261756,1495.6892428314486,206,424,218,9.900000200000001,4.82560443071962,4.7073350755884995,642.3511589433742,572.0312494882633,209.46070147390856,normalized_parts\part_0029.step
30,part_0030,5,44.75270635762871,303.0970592626164,1495.6892428314488,206,424,218,9.900000199999997,5.33222333134614,5.239240131154624,642.3511589433717,572.0312494882457,209.460701473894,normalized_parts\part_0030.step
31,part_0031,4,44.75270635762899,303.09705926261654,1495.6892428314486,206,424,218,9.9000002,5.707031581615107,5.641870975675303,642.3511589433798,572.0312494882722,209.46070147390856,normalized_parts\part_0031.step
32,part_0032,6,44.752706357628995,303.09705926261677,1495.6892428314488,206,424,218,9.900000000000002,5.9398057867836265,5.904245086564568,642.3511589433774,572.0312494882664,209.460701473894,normalized_parts\part_0032.step
33,part_0033,4,44.75270635762888,303.09705926261677,1495.6892428314488,206,424,218,9.900000200000001,6.024196176059515,6.019205482035591,642.3511589433825,572.031249488214,209.46070147387218,normalized_parts\part_0033.step
34,part_0034,5,44.75270635762879,303.0970592626163,1495.6892428314493,206,424,218,9.900000200000001,5.983616342179332,5.95790069961264,642.3511589433776,572.0312494882407,209.46070147390128,normalized_parts\part_0034.step
35,part_0035,4,44.752706357629194,303.09705926261745,1495.6892428314486,206,424,218,9.9000002,5.798448545957099,5.7427283197656,642.3511589433771,572.031249488285,209.4607014739231,normalized_parts\part_0035.step
36,part_0036,4,44.7527063576288,303.09705926261694,1495.6892428314486,206,424,218,9.900000199999997,5.4687527908811555,5.384547783583564,642.3511589433687,572.0312494882838,209.46070147393766,normalized_parts\part_0036.step
37,part_0037,4,44.7527063576287,303.0970592626167,1495.6892428314482,206,424,218,9.900000199999997,5.003522317697266,4.893129522386602,642.3511589433703,572.0312494882098,209.4607014738358,normalized_parts\part_0037.step
38,part_0038,5,44.75270635762885,303.0970592626165,1495.6892428314486,206,424,218,9.900000200000001,4.527053755604602,4.397311277193502,642.3511589433726,572.0312494882293,209.4607014738649,normalized_parts\part_0038.step
39,part_0039,4,44.75270635762878,303.0970592626159,1495.6892428314486,206,424,218,9.900000200000001,5.094606742150756,4.988618410601823,642.351158943371,572.0312494882662,209.460701473894,normalized_parts\part_0039.step
40,part_0040,4,44.75270635762886,303.09705926261677,1495.6892428314488,206,424,218,9.900000199999997,5.536830836744654,5.457487937451592,642.3511589433717,572.0312494883322,209.46070147399587,normalized_parts\part_0040.step
41,part_0041,4,44.752706357628966,303.0970592626165,1495.6892428314488,206,424,218,9.900000199999997,5.841663221605668,5.791129922029693,642.351158943371,572.0312494882692,209.46070147391583,normalized_parts\part_0041.step
42,part_0042,4,44.75270635762905,303.097059262617,1495.6892428314488,206,424,218,9.900000200000001,6.000788763913551,5.980443778008876,642.3511589433748,572.0312494883054,209.46070147394494,normalized_parts\part_0042.step
43,part_0043,4,44.75270635762894,303.0970592626165,1495.6892428314488,206,424,218,9.900000200000001,6.020265416902383,6.009867428227963,642.3511589433599,572.0312494882985,209.46070147394494,normalized_parts\part_0043.step
44,part_0044,5,44.75270635762881,303.0970592626159,1495.6892428314484,206,424,218,9.900000100000003,5.909508708208479,5.8686510749804555,642.3511589433682,572.0312494882374,209.46070147385763,normalized_parts\part_0044.step
45,part_0045,4,44.752706357628924,303.0970592626179,1495.6892428314486,206,424,218,9.900000200000001,5.6511945089468725,5.580992215436346,642.3511589433751,572.0312494882796,209.46070147390856,normalized_parts\part_0045.step
46,part_0046,4,44.75270635762898,303.09705926261813,1495.689242831448,206,424,218,9.900000200000001,5.252369154370833,5.154736938868787,642.3511589433748,572.0312494882511,209.46070147387945,normalized_parts\part_0046.step
47,part_0047,4,44.7527063576291,303.0970592626169,1495.6892428314484,206,424,218,9.9000002,4.723911757765344,4.601512478057952,642.3511589433746,572.0312494882031,209.4607014738358,normalized_parts\part_0047.step
48,part_0048,4,44.752706357628625,303.09705926261654,1495.6892428314488,206,424,218,9.9000002,4.825604430719648,4.707334975588523,642.3511589433709,572.0312494882409,209.4607014738649,normalized_parts\part_0048.step
49,part_0049,4,44.75270635762901,303.09705926261677,1495.6892428314484,206,424,218,9.900000199999997,5.332223131346161,5.239240131154649,642.351158943372,572.0312494882255,209.4607014738649,normalized_parts\part_0049.step
